EmployeeID,Age,TravelProfile,Department,HomeToWork,EducationField,Gender,HourlnWeek,Involvement,WorkLifeBalance,Designation,JobSatisfaction,ESOPs,NumCompaniesWorked,OverTime,SalaryHikelastYear,WorkExperience,LastPromotion,CurrentProfile,MaritalStatus,MonthlyIncome,Attrition
5110080,,Rarely,Sales,12,CA,Male,61,3,4,Executive,1,1,2,0,19,2,1,1,Single,17081,1
5110081,32,Rarely,Analytics,4,Statistics,F,39,3,1,Senior Manager,2,1,3,0,20,10,7,7,Single,26159,0
5110082,38,Rarely,,5,CA,Female,57,3,3,Executive,3,1,7,0,24,7,0,0,M,18306,0
5110083,52,Rarely,Analytics,1,Statistics,Male,65,4,1,VP,3,0,0,0,19,34,11,9,Married,34999,0
5110084,38,Yes,Analytics,3,Statistics,Female,75,1,4,Manager,5,0,6,1,17,17,4,12,Single,20980,0
5110085,27,No,Sales,1,Marketing Diploma,Male,73,3,4,Manager,4,1,0,1,18,,1,4,Divorsed,21349,0
5110086,52,Rarely,Analytics,7,Engineer,Male,78,3,4,Manager,5,0,3,1,17,18,6,9,Married,20577,0
5110087,31,Rarely,Sales,7,Statistics,Male,76,5,1,Manager,3,0,4,1,23,,7,7,Divorsed,21172,1
5110088,26,Rarely,Analytics,6,CA,Male,63,3,3,Executive,5,1,6,0,19,7,1,3,Married,20031,1
5110089,32,Rarely,Analytics,,Statistics,Male,57,3,4,Executive,1,0,1,1,29,1,0,1,Single,17795,1
5110090,53,Rarely,Analytics,11,CA,Male,57,4,1,Manager,4,1,3,0,21,12,8,8,Divorsed,20941,1
5110091,24,Rarely,Analytics,,Statistics,Male,65,1,2,Executive,5,0,2,1,27,2,1,1,M,17601,1
5110092,31,Rarely,Marketing,19,MBA,Male,59,1,4,Executive,5,1,0,0,22,2,0,0,M,17956,1
5110093,,Rarely,Analytics,16,Statistics,Male,,3,4,Executive,1,0,1,0,24,6,1,5,Single,17340,0
5110094,33,Rarely,Analytics,3,CA,Male,35,3,2,Manager,1,1,2,1,28,10,8,9,Married,22162,0
5110095,43,Yes,Analytics,10,CA,Male,72,3,4,Manager,3,0,3,1,18,10,4,7,Married,20679,0
5110096,44,Rarely,Analytics,16,CA,F,73,3,4,Senior Manager,2,1,1,0,,10,0,5,Divorsed,22978,1
5110097,32,No,Analytics,8,CA,Male,76,3,3,Manager,5,0,1,0,25,11,2,8,Single,25936,0
5110098,40,Yes,Sales,6,Statistics,Male,48,4,3,Senior Manager,5,1,5,1,26,20,1,12,Divorsed,25475,0
5110099,34,Rarely,Analytics,17,CA,Male,60,3,5,Executive,1,1,6,1,19,9,1,5,M,18436,1
5110100,48,Yes,Sales,12,Statistics,Male,54,5,4,AVP,3,1,8,0,17,26,15,11,Married,28936,1
5110101,28,Rarely,,11,CA,Male,74,3,2,Executive,4,1,1,0,27,1,0,0,Married,16052,0
5110102,29,Rarely,Analytics,8,Statistics,Male,52,3,2,Manager,1,1,1,1,16,6,1,0,Married,21623,0
5110103,32,Rarely,Analytics,27,CA,F,68,4,5,Manager,5,1,2,0,,11,2,9,Single,22812,0
5110104,29,Yes,Sales,14,Engineer,Female,51,3,2,Manager,4,0,5,0,16,7,,0,Single,20765,1
5110105,36,No,Analytics,1,CA,Female,33,4,5,Manager,3,1,0,0,20,4,1,2,Married,19374,0
5110106,33,No,Sales,5,Statistics,Female,78,3,5,Executive,5,0,2,0,18,2,1,,M,18827,0
5110107,34,No,Analytics,4,Statistics,Male,40,4,4,Executive,2,1,3,0,22,6,0,0,Divorsed,17979,0
5110108,24,Yes,Analytics,8,Statistics,Female,55,3,4,Executive,3,0,1,1,21,6,1,2,M,17886,1
5110109,31,Rarely,Analytics,8,Statistics,Male,48,3,1,Manager,2,0,3,0,27,10,1,7,Married,20915,0
5110110,49,Rarely,Analytics,5,CA,Male,55,4,3,VP,3,1,2,0,18,23,0,0,Married,33711,0
5110111,30,Rarely,Analytics,12,Other,Male,32,4,3,Executive,2,0,1,0,23,5,3,3,Single,19983,0
5110112,29,Rarely,Analytics,13,Other,Female,61,3,1,Manager,3,0,4,0,19,11,2,8,Single,19660,0
5110113,29,Rarely,Sales,,Marketing Diploma,Female,52,5,3,Executive,4,0,1,0,18,2,2,2,Single,17760,1
5110114,25,No,Sales,16,Statistics,Female,80,3,3,Executive,4,0,2,0,19,2,1,1,M,18033,0
5110115,41,Rarely,Analytics,13,Engineer,F,49,3,3,VP,3,0,1,0,17,23,15,8,Divorsed,34545,1
5110116,32,Rarely,Analytics,1,Statistics,Male,66,3,5,Manager,4,1,1,0,22,,0,9,Married,21220,0
5110117,35,Rarely,Analytics,23,Engineer,Female,61,1,4,Executive,3,1,1,0,23,3,1,1,M,18585,0
5110118,28,Rarely,Analytics,10,CA,F,57,4,5,Manager,5,1,9,0,,10,1,8,Single,22811,0
5110119,30,Rarely,Sales,6,Marketing Diploma,Female,30,4,3,Manager,3,0,1,0,18,,1,2,Married,21118,0
5110120,31,Rarely,Sales,4,Statistics,Male,66,4,2,Manager,5,1,2,0,17,11,7,8,Married,25714,1
5110121,32,Rarely,,6,Statistics,Male,80,1,1,Executive,4,0,0,1,17,7,0,5,M,18298,0
5110122,31,Rarely,Analytics,1,CA,Male,57,3,1,Executive,4,1,1,0,22,1,1,0,Single,17501,0
5110123,43,Rarely,Analytics,21,Statistics,Male,37,3,5,Manager,5,0,7,1,23,10,2,3,Married,21410,0
5110124,35,Yes,Sales,13,Other,Male,36,3,2,Manager,1,1,3,1,29,13,6,7,Single,19581,1
5110125,36,Rarely,Analytics,26,Statistics,Male,52,4,4,Manager,3,1,4,1,19,9,1,2,Divorsed,21916,1
5110126,36,No,Sales,11,Marketing Diploma,F,80,4,5,Senior Manager,2,0,5,1,17,17,5,13,Divorsed,26377,0
5110127,40,No,Analytics,10,Statistics,Male,63,4,3,Manager,2,1,9,0,19,5,0,2,Divorsed,19876,0
5110128,38,Yes,Analytics,7,Statistics,Male,72,4,1,Manager,3,0,2,0,16,10,7,7,Married,20321,0
5110129,24,Rarely,Analytics,7,CA,Female,53,3,1,Executive,4,1,2,0,19,4,2,3,Single,19295,0
5110130,38,Rarely,Analytics,30,CA,Male,70,3,3,Manager,5,0,7,1,24,17,0,0,Divorsed,21673,1
5110131,38,Rarely,Sales,13,Statistics,F,60,4,1,Manager,2,1,3,1,,9,1,1,Married,22694,0
5110132,29,Rarely,Sales,6,CA,Female,80,3,4,Executive,4,0,2,0,25,2,1,,M,18856,0
5110133,34,Rarely,Sales,1,Engineer,Male,64,4,1,Senior Manager,3,0,1,1,19,10,8,6,Divorsed,22083,0
5110134,33,Rarely,Sales,7,CA,Male,34,5,4,Senior Manager,2,0,2,0,17,15,10,9,Divorsed,26400,1
5110135,38,Rarely,Analytics,5,Other,Male,64,4,5,Executive,3,0,7,1,21,8,1,1,Single,18090,1
5110136,36,Rarely,Analytics,17,Other,Male,41,4,2,Executive,4,1,2,1,30,6,1,3,Married,19743,1
5110137,38,Rarely,Analytics,13,Statistics,F,44,1,1,Senior Manager,1,0,2,1,31,17,7,9,Married,29744,0
5110138,36,No,Sales,1,CA,Female,45,3,5,Manager,1,0,4,0,20,7,0,0,Single,21653,0
5110139,46,Yes,Analytics,19,CA,F,56,3,5,Senior Manager,3,0,5,0,16,28,1,2,Divorsed,25527,0
5110140,35,Rarely,Marketing,27,Statistics,F,31,3,5,Senior Manager,1,0,1,1,21,9,7,7,Single,23837,0
5110141,38,Rarely,Sales,8,CA,Female,44,1,3,Manager,5,0,1,1,29,8,7,7,Married,20605,0
5110142,28,Yes,Sales,8,Statistics,Male,55,3,4,Manager,5,0,0,0,19,5,1,3,Single,19898,0
5110143,39,Yes,Analytics,5,CA,Female,44,4,4,Executive,4,1,2,0,28,5,4,4,Single,18440,0
5110144,41,Rarely,Sales,1,Marketing Diploma,Male,49,2,3,Senior Manager,5,1,1,0,,10,0,7,Divorsed,23392,0
5110145,51,Rarely,Analytics,3,CA,Male,54,5,5,Manager,4,0,5,0,23,13,1,2,Married,20482,0
5110146,34,Rarely,Analytics,8,Statistics,Female,65,4,2,Executive,2,0,2,0,19,3,1,,Divorsed,18911,0
5110147,31,Yes,Analytics,1,Statistics,F,80,1,1,Senior Manager,4,0,1,0,16,10,4,7,Single,22446,1
5110148,33,Rarely,Sales,17,Marketing Diploma,Female,69,3,3,Manager,5,0,5,0,20,6,0,2,Single,20324,1
5110149,31,Rarely,Analytics,9,Engineer,Female,50,4,1,Manager,1,1,1,0,18,11,7,8,Married,20627,0
5110150,27,Rarely,Sales,,CA,Female,68,1,5,Executive,1,1,8,0,19,5,0,0,M,17534,0
5110151,52,Yes,Analytics,11,Statistics,Male,55,5,1,Senior Manager,2,0,3,0,21,19,1,4,Single,26650,1
5110152,49,Rarely,Analytics,2,Statistics,Male,36,3,2,AVP,3,1,4,0,19,23,0,0,Single,30379,0
5110153,41,Rarely,Sales,3,Statistics,Male,58,3,4,AVP,4,0,1,0,24,22,0,4,Single,31015,0
5110154,32,Rarely,Sales,8,Marketing Diploma,Male,67,3,2,Manager,2,1,4,0,17,7,0,3,Divorsed,24204,0
5110155,30,Rarely,,10,CA,Male,59,3,2,Executive,1,0,1,0,18,1,0,0,Single,16081,1
5110156,45,Rarely,Analytics,4,Statistics,Male,80,1,2,Manager,5,0,3,0,21,,3,3,Married,21033,0
5110157,49,Yes,Sales,10,CA,Female,67,3,2,Executive,3,1,3,1,17,20,8,8,M,18655,1
5110158,31,Rarely,Sales,11,CA,Female,56,3,1,Manager,1,1,2,1,16,8,1,4,Married,21583,0
5110159,39,Rarely,Analytics,5,CA,Male,64,3,4,Executive,3,0,7,1,19,7,1,,Married,19057,0
5110160,39,Rarely,Sales,4,Statistics,Male,61,4,1,Executive,5,0,5,0,20,21,1,,Single,18858,0
5110161,20,Rarely,Sales,,Statistics,Male,54,3,5,Executive,5,1,1,0,16,2,0,2,Single,17728,0
5110162,28,Rarely,Analytics,3,CA,Male,54,5,2,Executive,1,0,5,1,18,5,2,2,M,18464,1
5110163,56,Rarely,Analytics,5,Engineer,Male,70,4,4,Executive,1,0,9,0,26,20,1,5,M,18662,0
5110164,,Yes,Sales,1,Engineer,Female,,5,1,Executive,5,0,0,0,26,1,0,0,Single,17325,1
5110165,49,Rarely,Analytics,1,Engineer,Female,36,3,1,Executive,5,0,2,0,21,7,0,2,M,18580,0
5110166,29,No,Analytics,19,CA,Male,51,3,5,Executive,3,0,2,0,20,6,2,5,Single,18144,0
5110167,34,Rarely,Sales,2,Marketing Diploma,Male,32,3,3,Senior Manager,1,0,1,0,26,14,2,1,Single,24888,0
5110168,40,Yes,Analytics,5,Statistics,Male,56,3,2,AVP,1,0,8,0,17,22,12,6,Married,28169,1
5110169,28,No,Analytics,25,Engineer,Male,72,4,4,Senior Manager,5,0,1,0,17,10,1,9,Single,23722,1
5110170,29,Yes,Analytics,25,Statistics,Male,,4,4,Executive,1,0,1,1,29,1,1,0,Single,17439,1
5110171,40,Rarely,Sales,5,Marketing Diploma,Male,67,4,4,Senior Manager,2,1,7,0,16,15,2,11,Divorsed,25855,0
5110172,37,Rarely,Sales,1,Statistics,Male,46,4,4,Senior Manager,3,1,5,0,16,17,11,3,Married,25609,1
5110173,52,Yes,Analytics,26,CA,F,51,4,1,AVP,1,0,3,0,27,31,0,0,Married,28826,0
5110174,31,Rarely,Analytics,20,CA,F,67,3,1,Senior Manager,5,0,2,1,29,10,1,9,Divorsed,27916,0
5110175,43,Rarely,Analytics,3,Statistics,F,45,4,2,Manager,2,0,10,1,19,9,1,3,Divorsed,22062,0
5110176,35,Rarely,Analytics,5,Statistics,Male,64,4,5,Executive,3,0,4,0,18,15,6,,M,18768,0
5110177,38,Rarely,Analytics,13,CA,Male,60,3,3,Manager,5,1,2,0,21,11,1,9,Single,20213,1
5110178,35,Yes,Analytics,25,Other,Male,58,4,5,Manager,1,1,2,1,21,17,7,12,Married,21747,0
5110179,40,Rarely,Sales,15,Statistics,Female,54,3,3,Manager,5,1,1,0,20,5,1,2,Married,19639,0
5110180,41,Rarely,Sales,9,Marketing Diploma,Female,54,3,3,Manager,4,0,5,0,26,14,1,4,Married,19393,0
5110181,24,Rarely,Analytics,25,CA,Male,49,3,5,Executive,4,0,8,0,27,6,1,2,Single,18597,0
5110182,26,Rarely,Analytics,24,Statistics,Female,60,3,4,Executive,2,1,1,0,27,3,0,2,M,17886,0
5110183,47,No,Analytics,1,CA,F,68,3,4,Senior Manager,4,0,0,0,23,14,5,12,Married,26957,0
5110184,25,Rarely,Analytics,3,Other,Male,57,3,5,Executive,3,1,6,1,24,7,0,,M,18977,0
5110185,59,Rarely,Analytics,12,CA,Female,77,4,5,Executive,4,0,5,1,26,10,1,1,Married,19346,0
5110186,30,Yes,Analytics,1,CA,Female,58,3,3,Manager,1,0,1,0,28,12,3,,Single,19011,0
5110187,36,Rarely,Sales,3,CA,Male,61,4,4,Senior Manager,3,0,1,0,18,10,9,0,Married,,0
5110188,25,Rarely,Sales,4,Other,Male,68,3,5,Manager,5,0,1,1,23,5,0,3,Divorsed,19194,0
5110189,22,No,Analytics,27,Other,Female,55,4,3,Executive,3,0,1,1,19,4,1,3,M,17814,0
5110190,39,Rarely,Sales,4,CA,Female,41,3,5,Manager,3,1,4,1,23,12,0,0,Married,20238,1
5110191,55,Rarely,Sales,14,Marketing Diploma,Male,55,1,4,AVP,3,0,6,1,22,24,3,8,Single,28695,1
5110192,37,No,Analytics,26,CA,Female,72,3,4,Manager,3,1,3,1,20,15,10,7,Divorsed,19449,0
5110193,46,Rarely,Analytics,8,CA,Male,75,3,3,Senior Manager,3,1,6,0,18,13,0,7,Married,25845,0
5110194,44,Rarely,Analytics,1,CA,Male,,3,1,Executive,1,1,6,1,17,6,1,2,Single,17436,0
5110195,28,Rarely,Sales,27,Statistics,Male,48,4,4,Manager,5,0,1,0,16,5,0,4,Divorsed,19724,0
5110196,50,Yes,Sales,1,Other,Male,51,3,2,Manager,3,1,3,1,19,5,0,0,Single,19728,1
5110197,47,Rarely,Sales,7,Marketing Diploma,F,35,4,5,VP,4,0,3,0,20,27,1,9,Divorsed,34789,0
5110198,50,Rarely,Analytics,10,Statistics,Male,,3,2,Executive,1,0,4,0,23,8,0,0,M,17380,0
5110199,26,Rarely,Sales,30,CA,Male,45,3,4,Manager,3,1,5,0,17,8,0,0,Married,19306,0
5110200,38,Yes,Marketing,1,Other,Male,58,3,1,Executive,4,0,0,1,16,7,1,2,M,17991,0
5110201,31,Rarely,Analytics,,Statistics,Male,42,4,4,Executive,4,1,0,1,21,3,2,2,Single,17657,0
5110202,,No,Analytics,10,CA,Male,,4,2,Executive,5,0,0,1,27,4,1,2,Single,,1
5110203,57,Rarely,Analytics,10,Statistics,Male,51,5,5,Senior Manager,1,0,5,0,,38,1,3,Single,23260,0
5110204,33,Rarely,Analytics,6,CA,F,65,3,3,Manager,5,1,2,0,,9,7,4,Married,22725,0
5110205,32,Rarely,Analytics,1,Statistics,Male,66,3,5,Manager,4,1,1,0,22,,0,9,Divorsed,21220,0
5110206,41,Rarely,Sales,5,Statistics,F,81,3,3,VP,3,0,1,0,20,22,2,13,Married,34041,0
5110207,37,Rarely,Analytics,12,CA,Female,64,3,2,Executive,3,0,4,0,23,8,0,2,Single,18629,0
5110208,40,Rarely,Sales,3,Marketing Diploma,Female,46,3,4,Manager,4,0,7,0,17,8,1,3,Married,20715,0
5110209,45,Rarely,Analytics,31,Statistics,Male,34,3,3,AVP,5,0,4,0,19,25,15,18,Married,32328,0
5110210,18,Yes,,4,CA,Female,70,3,2,Executive,1,1,1,1,17,0,0,0,Single,16569,1
5110211,44,Rarely,Analytics,9,CA,F,53,4,3,VP,3,0,8,0,19,22,7,15,Married,35392,0
5110212,32,Rarely,Analytics,4,Statistics,F,39,3,1,Senior Manager,2,1,3,0,20,10,7,7,Single,26159,0
5110213,51,Yes,Analytics,9,Statistics,Male,53,5,2,Senior Manager,1,0,2,0,20,18,0,3,Single,25650,1
5110214,31,Rarely,Sales,3,Statistics,Male,54,3,1,Executive,3,1,0,0,24,3,1,2,M,18067,0
5110215,,Rarely,Sales,11,Statistics,Female,,3,2,Executive,3,1,1,1,24,1,0,0,Divorsed,17220,0
5110216,28,No,Analytics,,CA,Male,52,3,5,Executive,1,1,2,0,17,1,1,1,M,17706,0
5110217,41,No,Analytics,8,Statistics,F,55,5,5,VP,3,0,1,0,27,21,5,10,Married,34973,0
5110218,21,Rarely,Sales,23,Engineer,Male,49,3,5,Executive,3,0,1,0,16,3,1,2,Single,18447,0
5110219,30,Rarely,Analytics,9,Statistics,F,73,1,4,Senior Manager,5,0,0,1,17,9,1,7,Divorsed,26416,0
5110220,45,Rarely,Analytics,18,CA,F,75,3,4,Senior Manager,2,0,2,0,17,11,1,6,Divorsed,23978,1
5110221,31,Rarely,Sales,18,Marketing Diploma,Male,66,4,2,Senior Manager,5,0,3,0,,13,2,8,Married,23140,0
5110222,39,No,Analytics,10,Statistics,Male,57,3,5,VP,1,0,2,0,18,21,1,3,Single,34431,0
5110223,35,Rarely,Sales,11,CA,Male,55,4,4,Senior Manager,5,0,9,0,22,15,6,0,Married,25306,1
5110224,41,No,Sales,31,Other,Male,60,5,5,Senior Manager,5,1,4,0,21,21,1,2,Married,26932,0
5110225,57,Rarely,Analytics,10,Engineer,,74,3,3,Executive,3,0,9,0,17,15,10,9,M,18339,1
5110226,58,Rarely,Analytics,24,CA,F,64,3,2,Senior Manager,2,1,1,0,17,40,15,6,Divorsed,25312,1
5110227,25,Rarely,Sales,6,Marketing Diploma,Male,46,4,2,Manager,3,0,1,1,16,6,,3,Single,20744,1
5110228,28,Rarely,Sales,6,CA,Male,68,3,2,Manager,1,0,1,0,19,4,0,2,Single,,0
5110229,26,Rarely,Sales,9,Engineer,Male,38,4,5,Manager,5,1,6,0,22,6,1,2,Single,20326,1
5110230,36,Rarely,Analytics,25,Statistics,F,73,1,3,Senior Manager,4,0,8,0,24,11,7,3,Married,27996,0
5110231,53,Rarely,Sales,6,Marketing Diploma,Male,33,4,4,AVP,5,1,2,0,17,35,2,17,Married,32856,0
