userid,Ucredit,Ureview,Web_review,consecutive_usage,Exp_review,assigned _metric,assigned_rating,Product_1,rating_1,product_2,rating_2,product_3,rating_3
79a402185248690bdee40163a140fde4,5,4,5,4.5,2, serendipity, high,77658,3.94250371,86377,3.822996904,1250,3.811950701
56e60808b468eb5f0845616fe2714974,4.5,5,5,5,3, popularity, high,1233,4.362534847,1201,4.385625741,1252,4.395925433
78dca3ab3acdb0ad101245e95332ac68,6,3.5,6,4,3.5, popularity, medium,1273,4.488252334,2731,4.23056989,3089,4.220822606
10ee6ea6bfb79401fc78e92deba3d2ff,5,3.5,3.5,5,2, popularity, medium,1273,4.488252334,2731,4.23056989,3089,4.220822606
dd9a68f52fd23e04592bdf08af807371,5.5,4.5,4.5,5.5,2, popularity, high,928,4.287232433,1275,4.244381445,1233,4.244188552
c2daea04f1d84f2aa999c92200ec0222,6.5,4,4.5,4,2.5, serendipity, medium,99764,4.877118723,77658,4.450350002,105250,4.792973183
fb6cc72fc2af933f3c6808fb9a6676c3,4.5,5,3.5,4,2.5, serendipity, medium,112183,4.64656197,7502,4.455870393,77658,4.404093851
ef94eddb28db4edca56013331b5dec8e,5.5,4,3.5,5.5,4, diversity, low,1232,4.478899606,3503,4.331966924,2495,4.401489308
d99db273e834f955834ba6ef2a2b60bd,4.5,3,5.5,7,2.5, popularity, low,97648,4.338846348,99764,4.377632091,102217,4.409171701
cacdd140e39b8f7d9cd5c34781ab1c7c,4.5,3.5,3.5,3,4, diversity, medium,1232,4.853011859,102217,4.697406495,77177,4.637402207
e7c8485a3bb3eab91465cc76dcbd4748,6.5,3.5,4.5,3,6.5, diversity, low,858,4.220751141,1221,4.048448603,1254,3.820930012
e11b65eb0dcb3c57eef5ebd096a5fd6a,6.5,3,5,5.5,2.5, diversity, low,1148,4.643468289,745,4.15038976,78499,4.059874664
8bb877fc4d206e9633f41afcf6f434da,4.5,3.5,2.5,5,1.5, diversity, low,1148,4.643468289,745,4.15038976,78499,4.059874664
4889e49b9f9ee173d10403b1bbcdf807,7,5,6,6.5,5.5, popularity, high,58559,5.211574156,5418,5.146876744,6377,4.978827974
977f6a958c559679b9dca86180611d47,4,2.5,4,4.5,3, all, default,60069,5.022680758,81845,4.967748328,1136,5.00449131
485945b55ab3de6f0b9310efc3f6df6a,7,3,7,7,1.5, all, default,7502,4.691990913,112552,4.635865971,112183,4.572552272
c0d05df54bcd2985bcd24c3bed2bfd71,5,4.5,5,4,3, popularity, low,26674,5.095189674,101962,4.71507483,94969,4.927938043
f85537ffab5ed6070c16e0d3c5475a29,6.5,4,4.5,5,6, serendipity, low,3578,4.055548317,527,3.781913047,4226,3.88812107
ca12127d5f1198713631a62145557cf5,6.5,5,5,7,3, diversity, low,99813,4.476297166,98124,4.343743386,99114,4.363734228
298aaf1709b835aede4a4d176445c986,6,5,6,3,5.5, popularity, low,94466,4.341556836,77658,4.375791532,92259,4.309005782
b94e3f9b71ee6dc3098eb2a5b01c21ee,4.5,5,6,6,1, serendipity, high,77658,4.263239291,108583,4.264672105,93040,4.413724769
0eae92629ffc0a7f8e3da331d6165c22,4.5,3,5,3.5,3.5, serendipity, low,922,4.095225826,96829,4.145749758,96588,4.591236417
79e686209f702d41a8bbb321e093bf06,5,4.5,3,4.5,2.5, serendipity, medium,1204,4.470576369,1212,4.273599379,1230,4.388469809
4d96607fb54831bf0c2eadf935949509,6,3.5,5.5,4.5,2.5, serendipity, medium,1204,4.470576369,1212,4.273599379,1230,4.388469809
394fbaab64153b5b0db2344c7e1bc7b8,6,6,6.5,4.5,6, serendipity, high,77658,4.447907792,108583,4.507921422,93040,4.634191026
0abb6de2204f89752425ce67efcb8a45,5.5,4.5,4,4.5,4, all, default,527,4.573822403,1221,4.529950693,1193,4.509928274
8a06e1eb68189ccd352d8c64f09906b8,6.5,2.5,3,4.5,4, serendipity, medium,86377,4.18239685,112290,4.109264502,109374,4.09712326
2f7b73a8590616814caadf1f5faf21c2,6.5,5.5,6,6,5, popularity, high,594,4.230631466,1148,5.299806338,1219,4.189556349
a3f6f847abb6082b391ce58b93a72892,7,3,6.5,6.5,2, popularity, high,594,4.230631466,1148,5.299806338,1219,4.189556349
6cb8b74bf49c9125022d672af1a18df6,6.5,3.5,4.5,3.5,5.5, popularity, medium,64034,4.130664432,96821,4.171352083,37731,4.118654692
748784f3d73e3646d2094242769ebd75,6.5,3.5,3.5,7,5.5, diversity, medium,50,4.131688142,77658,4.106118236,108583,4.006613678
bf365c8d86810cb26e345d00b566dc85,5,2.5,6,6,2, all, default,858,4.553994626,4306,4.514614223,1221,4.403709703
2991b667daafb17933f40ff1147f592a,5.5,3.5,4,3.5,3, all, default,858,4.553994626,4306,4.514614223,1221,4.403709703
aa896478c00fac4050d39a232ed136d9,7,4.5,6.5,6,4.5, diversity, high,1566,4.793580679,127152,4.746981039,130644,4.891719816
8089532820067141cdda1bef0e24fe6e,6.5,3.5,4.5,4.5,3.5, serendipity, medium,1196,4.21185454,912,4.020867198,1281,4.097584548
c11e293807ce2c2f67d577a50ad114eb,7,4,6.5,3,5, popularity, high,714,4.935007161,1211,4.976003709,7502,4.769376663
b6a98cdd574405de0a180be9e0eafe73,4,4.5,3.5,6,3, all, default,260,5.123651966,527,5.047861337,1196,5.100456193
670f95d37827130426f3ff36ded5fc13,5,4.5,2.5,3.5,2, serendipity, high,33779,4.820176795,108979,4.742252909,108583,4.724752118
beaca1a921f1f14b352bf3fedb19b354,7,4,5.5,6,6, serendipity, high,33779,4.820176795,108979,4.742252909,108583,4.724752118
9fbafed65ef7f97b21f10c266d2c819f,6.5,3.5,4.5,6,4, popularity, medium,129781,4.217093497,120815,4.231010302,127441,4.24304564
a8628b669a0078a4ed4fbf82b6e047d7,5.5,4,5.5,4,1.5, popularity, high,1221,4.26342764,1214,4.154093692,1265,4.229425956
41115f617c7fed70e319754f752f043d,6.5,6,6,4,4, popularity, low,26674,4.27803811,102217,4.306872478,99764,4.37470218
e71887ed5a07922d41a0567ff8c79e12,6,5.5,5.5,6.5,2.5, popularity, low,26674,4.27803811,102217,4.306872478,99764,4.37470218
a86bdc7d8a4a33649d3290133eb733ad,6,4,4.5,4,5.5, all, default,4973,4.399544352,6016,4.371485357,5618,4.328329723
1526f4a779cc3723c955cddc3a353187,6.5,5,6,7,4.5, popularity, high,7153,4.524841404,1193,4.509467014,5952,4.488273105
8cf9bfa3838cfc3f89f16e10a1ee59f4,4.5,4.5,6,3,3, diversity, medium,3147,4.470585413,86377,4.405624489,101850,4.487967374
b3ae1f573ab0da7ae549c58ca338a14f,6,4,3.5,6.5,1.5, popularity, low,95311,3.991474836,100556,4.102644427,94466,4.032158352
6df3fb2cc02d06bf4e2c6135ad6da376,5,3.5,6.5,4.5,4.5, all, default,109487,4.873282299,7502,4.885625859,1211,4.910912843
c6e04c6343a907c961108fef4a8199dd,5,3.5,3.5,3.5,4, serendipity, medium,117533,4.26505766,91233,4.100840367,131724,4.179912408
45605c7a6be3394394827efa08a9799b,6.5,4.5,1,2.5,3, serendipity, medium,117533,4.26505766,91233,4.100840367,131724,4.179912408
e585763cc728dbe4831d9da3a09b198f,3,5.5,4.5,4,5, popularity, medium,1260,3.982670302,57669,3.894191921,3435,3.851008688
7885b124d03dd6f6fb2a7ad04b752fe0,7,5,7,4.5,3, serendipity, high,7502,4.725262364,77658,4.673485821,7327,4.795018234
074ebec2822594b0edd299f4c537a795,7,4.5,5,4.5,7, diversity, high,2193,4.279350967,33779,4.267915957,56145,4.240805469
7f60f800e807c63a865f302b2b76a156,5.5,5,5,5,4, popularity, high,2973,4.33760198,3735,4.18034814,5782,4.109373239
4a2d7cb0d5db038f15697c3b99568b3a,4,6,5.5,4,2, popularity, low,108583,5,104069,4.61688267,93721,4.743502603
f7ee86fd173f2330f87e9b7b8467e737,6.5,3.5,7,6,3.5, serendipity, medium,64716,4.216948422,5971,3.677526147,48082,4.785351876
78e6499e97a0d63098287ab3e5a3d577,5.5,3,4.5,5.5,2.5, all, default,89759,4.630103022,85342,4.615575046,82459,4.437801622
1c2e6d8d6e0cfb2b41b804da6887bdfd,6,4,3.5,4.5,3, diversity, low,8958,4.888385857,40819,4.384454234,27803,4.522742821
600ec019e03ab20d98ba29e4119d2145,4.5,4.5,4,4,4, diversity, medium,86644,4.124483553,5121,4.80379853,5498,4.462239763
5f16b14e2d82c31755291f40e8b0ec73,5,4,6,6.5,2.5, diversity, high,6016,3.790280225,7502,3.82994396,912,3.804928183
5af58060b20eaf97e38ef38de5d023a2,4,4,4.5,4,4, diversity, high,5995,4.452397557,77658,4.551004076,61406,4.389951405
832d86d3a05e2b4973c329471ee9d6c4,5.5,2,2,1.5,2.5, all, default,2019,4.441200507,58559,4.24169143,1732,4.235882566
bf179c359f7f3a40ef7dc0cc7a96d916,4.5,6,5,6,3, diversity, high,7502,3.971180709,4226,3.865897273,86377,3.786757124
3cb885f5bbba64cea284e9332bea1d41,6,1,3,7,3, popularity, high,2076,4.589811159,2161,4.671335892,1266,4.628024494
dcc6eb2145ef8a8f576cb97b62e79359,3.5,5,4.5,5,4.5, diversity, high,1198,4.142121753,112552,3.741266357,527,4.09135442
c44856e84d0bf38ab29aac2e4ed37fb2,6.5,2.5,4.5,4,5.5, popularity, medium,55555,4.668100645,60333,4.61599286,74324,4.289145046
74fc5fd7972ee74838cf90c79e7468e3,4.5,4.5,6,7,2, all, default,293,4.351854737,555,4.394204163,4019,4.35945598
dda27bce673baaf7c1f2d227d6c04f42,5.5,4,6,2.5,4, popularity, low,93988,4.977215797,103984,5.085185883,104069,5.010043126
10cb5cdac57f0bdc611a9c515218cb3a,6,3.5,4.5,4.5,2, diversity, medium,38038,4.860973605,68237,4.287149553,27773,4.354850928
606c283f935f7934c965ca764a743959,5.5,3.5,5,5.5,4, popularity, medium,7064,4.52061156,2843,4.049724917,2351,4.445391063
3f77830c1b96c0ce003e248a069cf61d,6.5,4.5,2.5,5.5,4.5, diversity, medium,89118,4.801437932,4993,4.486174318,101525,4.8203438
b2ca52bdda6d8c8fd621d1afeda56d18,4,3.5,3.5,4,4, all, default,318,4.571763933,50,4.459408049,58559,4.356780495
556696f7f504c83ddc53459509379d53,4.5,4,3.5,5,3, diversity, high,2019,4.71742376,108583,4.467825125,105250,4.572489184
9959ffe4dedb8041d94c104e6e39b1cf,7,3,6.5,4,4.5, serendipity, low,527,4.265906468,356,4.253934854,96829,4.268893919
5574eba2387a0b2307f446ac87c2e2a3,5.5,3.5,6,5.5,3, serendipity, low,527,4.265906468,356,4.253934854,96829,4.268893919
8f9f2afd1bdec2bc0ac0711654610368,6,4.5,5.5,4,3.5, diversity, high,527,4.754321119,116797,4.447501993,77658,4.314712565
e2f13939d143d8921c77407f1faa36d6,5.5,3.5,6,4.5,2, diversity, high,86377,4.624984918,92535,4.576355527,77658,4.399980459
03b6619900e1f5554bc066fe5be755ed,7,4,4.5,6.5,1.5, diversity, low,5952,4.538185007,4993,4.420745211,7153,4.253382866
fa51c8a9ad4010eae58ef1345aa6a241,5.5,6.5,6,6,5, diversity, low,5995,4.665104279,58303,4.798427516,81845,4.493123822
51deb51779d69d0947428ce7f65de264,4.5,5,3,7,1.5, serendipity, high,7502,4.338743195,104944,4.632943173,112183,4.309447778
ecc745900000136738f3bc574ae233c6,7,2.5,5,3.5,2.5, serendipity, high,112183,4.377216556,112552,4.483963616,7502,4.002194504
a016f499808cff7b7912ecea5fc3bd92,6,4,5,4,2.5, serendipity, medium,77658,4.515705244,100553,4.613192184,26674,4.533715704
353ff77978efc9ba25632dc21d837bdb,6.5,4,6,4.5,4, popularity, high,307,4.204061041,306,4.267296247,2019,3.98921715
1d3043a095d56bbba6a4fc9589edc6df,5,4.5,5.5,4,4.5, serendipity, medium,108983,4.623941168,106452,4.619596002,105250,4.708203195
ee6e559a70c5b3b092fffc14e94fc89f,6,3.5,4.5,2.5,4.5, popularity, medium,68486,4.246043314,99813,4.279253488,3338,4.288075653
361ea6536a6f61563495650b55f70e8a,6,4.5,3,5.5,6, diversity, medium,58,3.922131573,100556,3.857929746,60950,3.847430765
c37b3d7813f3e6642e47ed82c46fa8a8,5,4,3.5,4,1, serendipity, medium,77658,4.355738326,112582,4.509379384,86377,4.217326662
25818c3dd647d4a78eebad93b2191c4d,5.5,3.5,2,3.5,1.5, popularity, low,108979,4.493153079,84716,4.535090228,104944,4.404884213
cd1a74f9c820092953698e2776307427,6,3.5,4,3,3.5, popularity, medium,8620,4.585833889,85342,4.296482417,47491,4.468767955
d9924c1cad7cfaaf0143c73323ecf75a,6.5,4,6,4.5,3.5, popularity, medium,8620,4.585833889,85342,4.296482417,47491,4.468767955
fcdd8aebd0b45961e07b82a64994f9cb,5.5,4,5.5,3.5,5.5, popularity, medium,8620,4.585833889,85342,4.296482417,47491,4.468767955
2d5091f46b227e53ec876e460c7fd31f,7,6,6,4.5,3, popularity, high,969,4.135894523,2019,4.185218471,58,4.185788418
a66e7f83b26de15fef7b721f75affee6,6.5,3.5,2,3,3.5, serendipity, high,93988,4.21800184,3676,4.130693452,6818,4.505667031
4f9172efcb81db834498674dc3e03570,7,2.5,6,5.5,5, diversity, medium,89118,4.779776998,101895,4.355557973,54259,4.224647604
4d3868d25a632ec1f26b9bd2d9bc5678,6.5,3.5,4,6.5,6, popularity, high,30749,4.945424893,2005,4.469909314,914,4.729946786
5fe6685734bc25fd5d7796414305cacc,4,2,3.5,3,2, diversity, medium,750,3.815628169,2115,3.796543641,81932,3.750940823
0a15cfbb832dad71e3dff5a54f6f6744,6.5,3.5,7,6,2, serendipity, low,81591,3.788416671,56782,4.149811001,2692,4.15285967
0f741cad145cb26ecb0105b3525e1ecf,5.5,5.5,3,4.5,2, serendipity, low,81591,3.788416671,56782,4.149811001,2692,4.15285967
20713248bf5a8181bc2feeb0ffbf9ee2,6,4,3.5,5,1.5, popularity, low,91233,3.616969406,103235,3.619800222,104944,3.696399322
1beb192fcbfba3b6afa17b00ae68605a,4,4.5,5.5,5.5,6, all, default,60069,4.068169834,68954,4.066080471,78499,4.012892324
8e6ac49cfc652f613945d0122864a0bc,6,3,6.5,7,2, all, default,71535,4.812404896,2324,4.707323105,527,4.559174774
bc594620812a29d7c814ee128bb12427,5.5,4,6.5,2.5,3.5, all, default,71535,4.812404896,2324,4.707323105,527,4.559174774
f1b4c71d4f779ba63ff8e6079e0f956b,5,4,5,5,3, popularity, low,92500,4.463801284,97648,4.473443554,99675,4.483204029
638167696ccf09b6cac03aff39ac381a,3.5,3,3,5.5,2, diversity, high,1136,4.653146084,7502,4.186708675,77658,4.135975381
86909896cc043504051d9aa5b062e65f,4.5,6,4.5,5,5, serendipity, high,112175,4.386639706,122892,4.373543222,115617,4.219422781
92db41588fb6acb7b8056401602ed159,5.5,1,5.5,7,1, all, default,778,3.83291063,94959,3.819365465,293,3.758737972
9c337bc9a8eae89122bbe726840f9d56,3,4.5,4,6,1.5, popularity, medium,31658,4.067272645,5971,4.153329152,44555,4.243963398
0867d54431f3ab8832122430352b1c5d,5,3.5,3,4.5,2, popularity, high,266,4.287787905,16,4.083892095,1246,4.098233108
303cf2ce8a2b17c753a8d3be988e11fd,5,5.5,7,7,1.5, diversity, high,108583,4.736223357,50,4.4245951,72104,4.556648491
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
4638502dc978788ec9d44e64e43a6757,6,4.5,4.5,4.5,4.5, all, default,4011,4.295279522,3996,4.247422967,318,4.092248129
7f6196cb38a8743fc7b0074fb22fed51,4,6,6,5,4, serendipity, medium,1217,4.092462932,903,4.062300678,922,4.159301201
20a4a75b95177dc14f6b9081dbd6e303,5,2.5,4,3,2.5, popularity, low,26674,3.702106291,97648,3.704227528,102217,3.708473303
a5f33f1822d09635446a5c6b6c9fd2e4,5.5,3.5,4.5,5.5,2.5, popularity, low,26674,3.702106291,97648,3.704227528,102217,3.708473303
18e37deb2d36f25d6c38800f94afab02,5.5,4,5,5,4.5, serendipity, high,112556,4.250034103,111759,4.129487585,77658,4.182237478
efd2126d7f53a77c39bfdd818a903e76,4.5,4.5,4,4,4.5, popularity, high,441,4.344036951,431,4.341998875,4262,4.61390325
cd3006656ff803042fd9ac99a3f0f9f5,4.5,4,5.5,5,6, serendipity, medium,1201,3.349403096,4226,3.862162623,2019,3.50375942
5793d3389ed374077fb52edf7f1b0c67,6,3.5,3.5,4.5,5.5, serendipity, medium,1201,3.349403096,4226,3.862162623,2019,3.50375942
eac2e1281daa55e8303d234ad31b6fde,5,4,5,6,6.5, all, default,5669,4.763922819,1080,4.453142927,1921,4.695932313
edfa9b859c9570eeaa11708eb867f59f,5.5,4,6.5,6,6.5, popularity, low,101850,4.413661989,86536,4.437756338,27423,4.481632569
edf136ea4b8d6ea43f221d3ec0681d1b,5.5,5.5,6.5,2.5,2, popularity, low,3415,4.64573081,6818,4.840935325,26587,4.809407404
52010b521656518e8aa3937301e08b43,4,3,6,3.5,3.5, diversity, medium,1089,4.280021078,457,4.129310131,5618,4.014907011
2a07d165d2b0edb986114842d38c6d96,2.5,4.5,5,5.5,3, serendipity, high,108583,4.082646658,26674,4.244178613,131724,4.197299526
2d308fa640bc031d7c439d20619b6108,6,3,6,4,4, popularity, high,1148,4.201935286,2692,3.926824486,2329,3.887643555
353d73a2d9c5ba0b21e4186d567502b3,5.5,5,4.5,3,2, popularity, high,1148,4.201935286,2692,3.926824486,2329,3.887643555
10dae2db89bc660a12ae0a03ec03a28d,6,4.5,2,4.5,3.5, popularity, high,1243,3.889188882,38061,3.725011815,909,3.603928467
d378c1181977ffb28cf8e6b7f1c1e178,5,6,1.5,3,1.5, serendipity, high,115210,4.454092078,109487,4.184055449,108709,4.763762978
51486a050b36f396d461df563f9a8772,5.5,7,5.5,6,4, diversity, medium,104374,3.995625902,100556,3.940025785,3634,4.27230614
dd91994e50a6958da1684d70cbc38448,6.5,4.5,4,7,1.5, diversity, low,91529,4.277847868,58559,4.176468436,6870,4.349735954
efa5986beae190da893c945cb20e0adb,6.5,4,5.5,5.5,3.5, popularity, low,94466,4.334655213,86377,4.30832586,77658,4.427832665
786d18a26d4a6a97f97df8e7ac04a5c7,6.5,5,4.5,2,3.5, diversity, medium,1232,4.254191861,3629,4.056788332,2140,3.926534155
19812ede65f4926b814f3c21d78af3c7,5.5,3.5,6,2.5,4, popularity, medium,101973,3.92129359,51063,4.414663562,31930,4.451184255
badbb6d131b0db34852e5b7a6fea1ae6,7,3,2.5,4,1.5, diversity, high,26674,4.608269403,129514,4.834632618,101850,4.626568929
704918231591527266cb521ba7b37255,7,3,6,5.5,3.5, diversity, high,26674,4.608269403,129514,4.834632618,101850,4.626568929
d94778708f4215e6dd10b32e022df06b,5,5,6,6,5.5, all, default,57669,4.661175057,3000,4.555104335,76093,4.482240653
543e04330448412fc8a2540c47fe023d,6,6,6,5.5,2, serendipity, low,60069,3.732002343,78499,3.716516511,76093,3.699170075
8f27982a6eaeba38c1c38b92e01ea2fd,6.5,3,5.5,4,4.5, serendipity, low,47,4.41122459,3499,4.135327128,48516,4.16847739
6cf0999127f571d16808c058e5087443,6,2.5,3,4.5,2.5, popularity, low,112399,4.4906885,105250,4.546240799,94810,4.586631273
e21b648e43e0de5c5381093191276c1a,3.5,4,3.5,6,1.5, serendipity, low,2208,3.960266618,88810,3.872352193,47491,4.070565987
a44eac2fba62477adfb8b519dc8ae3b7,7,3,7,2.5,4, serendipity, low,73881,4.509851064,99813,4.487918013,66934,4.581756738
6bb2e5d0393b5cafea63735ff0a14eca,6.5,5.5,3.5,5.5,2.5, serendipity, medium,77658,4.188993136,108583,4.122117941,117533,4.134680971
c56613815b9f708eb9df7eb6afd42a49,6,3.5,4,3,2.5, diversity, high,2959,4.252747515,7502,4.318891621,104069,4.075614077
c56613815b9f708eb9df7eb6afd42a49,6,3.5,4,3,2.5, diversity, high,2959,4.252747515,7502,4.318891621,104069,4.075614077
d8a5ed118c07a72f44e920900a4288ec,5,5,5.5,5.5,2.5, serendipity, medium,109487,3.900949484,77658,3.961433685,104944,4.213972652
662067cb7aa1cd665c05325bc6ae27e3,6,3.5,5.5,5.5,2, diversity, low,56921,4.039235805,94466,4.015119676,1784,4.016005396
f3fcfc2d7f42ae5dccfd7652c7c8657e,6.5,5,3.5,5,4.5, diversity, high,96821,4.846960533,116797,4.488611148,131724,4.575037968
b6526710ce105aa5e6a229bbb895cda7,5.5,3.5,6.5,6,2, serendipity, low,46976,4.23968708,5673,4.217302979,2208,4.0485098
b54372490fb6e3ccace51c0e3541db08,6,4.5,4,5,3, diversity, high,112334,5.794940294,115381,6.007369805,60007,6.005429858
9f94b45bfa92d23e603e8f1028cd84d9,5,3,4.5,5,3.5, all, default,68237,4.906766627,7099,4.822956026,2019,4.717012804
8667bb6dd8ba7f2c06228fc7ae5287fa,6,2.5,5.5,7,3.5, serendipity, high,112552,3.841445926,32840,3.701949733,104944,3.685683368
9aa6170f7b9b4a83e695a66bdf482727,4.5,6,5,5.5,2.5, serendipity, low,2329,4.219336907,6016,4.315480523,48780,4.10546866
486e25befec8173dae20c0dc83ad51cf,5,6,5.5,6.5,4, diversity, low,4993,4.273381928,5952,4.242690383,7153,4.279273112
8a90d8a5aa3eb0be3da2c9b9cdae731c,6.5,1.5,3.5,4.5,1.5, serendipity, high,77658,3.427183616,122892,3.349311629,100553,3.564708304
4fae0695454a986d8328aadba1534575,7,3,5,6.5,3, popularity, high,64575,4.458223806,3677,4.710569572,112070,4.471700082
d37f84871a66c3cdc56e168698eb4df3,5,4,4,3.5,2, serendipity, high,115617,3.725698089,86377,3.702049333,77658,3.694039449
7659442ea387e7ac749cfa103cd00e3e,5,5.5,5.5,3.5,1, popularity, low,26674,4.359064925,27423,4.450646174,99764,4.487835332
406e524e5672daf6c95bd4a77b99aab1,5.5,5.5,5,5,4.5, popularity, high,66097,3.874693847,6003,4.113733434,3462,3.957456677
381bf101484423aeae3cdec929ea7bc9,7,4,4,1,7, popularity, high,66097,3.874693847,6003,4.113733434,3462,3.957456677
4bac3a1b102aa762bb7e0e6dba956848,6,2.5,4,3.5,4, popularity, high,2076,4.767249273,2427,5,55820,4.968200462
90eb6bb64582f5f267d5878b13889e13,6.5,3.5,3,4.5,5.5, popularity, low,99764,4.882357092,108583,4.547869233,108979,4.624572599
08614ffe83a9fd656e55a3b04ad63260,4,5,5.5,1.5,4.5, diversity, low,2019,4.614726124,3030,4.508098918,6669,4.630650473
65d4d19da29991525bee31a46234c2f3,5.5,2,4.5,3,2.5, popularity, high,2324,4.500907778,4878,4.494801691,2329,4.524675461
7f9708943d2b76715b1ea4c806eaa0ce,5,4.5,4,5,3, popularity, high,1704,4.991865821,4226,5.057480435,3578,4.911737592
8dfc6bf83800d081dd4bcec2468d6b9e,6,5,4.5,3,3, serendipity, high,104069,4.745700729,104944,4.61179403,77658,4.424131082
