id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22208060,"Large, sunny room in the heart of Williamsburg!",3791823,Nicole,Brooklyn,Williamsburg,40.70902,-73.96059,Private room,70,4,1,31-12-2018,0.16,1,0
32550619,Cozy Upper West Side Spacious Studio,51268465,Sebastian,Manhattan,Upper West Side,40.79467,-73.96923,Entire home/apt,135,1,1,30-03-2019,0.3,1,0
22291938,"Modern, Private Williamsburg Bedroom",83170219,Hannah,Brooklyn,Williamsburg,40.7052,-73.94397,Private room,60,2,1,13-02-2018,0.06,1,0
11675715,Cozy 1 BR Basement Apartment,56714504,Josue,Bronx,City Island,40.85139,-73.78414,Entire home/apt,95,1,227,18-06-2019,5.65,1,16
35864932,Best Location in NYC | 2 Bedroom Gem!,268066785,Yael & Graham,Manhattan,Midtown,40.75549,-73.96938,Entire home/apt,350,3,0,,,1,280
21217074,Harlem Hideaway Garden Apartment,145825873,Dennis,Manhattan,Harlem,40.80475,-73.9491,Entire home/apt,108,30,3,19-01-2019,0.23,4,213
2261018,Studio Apartment on 35th and 3rd ,9389685,Bobbi,Manhattan,Murray Hill,40.7461,-73.97628,Entire home/apt,175,1,15,25-09-2015,0.29,1,0
8664721,Private room & bathroom in the sky,23073564,Evan,Manhattan,Midtown,40.74576,-73.98146,Private room,200,2,150,21-10-2018,3.32,1,0
34901699,R1 Private Queen Room  LGA JFK Manhattan 15 min!,263053182,Fmny,Queens,Rego Park,40.7276,-73.86569,Private room,85,1,1,24-06-2019,1,10,106
7116071,30 Minutes to Manhattan / Sleeps 7,36903907,Moe,Brooklyn,Bensonhurst,40.61112,-74.00028,Entire home/apt,145,2,207,02-07-2019,4.26,1,287
7002139,Must Love Dogs / Bushwick Brooklyn,2720363,Ange,Brooklyn,Bushwick,40.68802,-73.91474,Private room,125,2,4,01-06-2019,0.19,1,310
8347980,Large Modern Studio Next To The Park,4230646,Jonathan,Manhattan,East Village,40.72595,-73.98218,Entire home/apt,150,2,6,01-01-2017,0.18,1,0
1378165,Sunny Brooklyn Artists' Enclave! *huge room!*,7465509,Tyler,Brooklyn,Bedford-Stuyvesant,40.68732,-73.93004,Private room,67,7,2,21-06-2019,1,1,14
1220548,Cozy 2 BR apartment in Queens,2050338,Verena,Queens,Richmond Hill,40.69414,-73.82538,Entire home/apt,90,30,33,08-12-2017,0.46,3,298
33827823,The Sweet Spot 2- Private Apt with a court yard,49523787,Joe,Manhattan,Harlem,40.8273,-73.94952,Private room,55,2,4,02-06-2019,1.94,2,76
35451637,Amazing private room near central park and subway2,266726110,Sergii,Manhattan,Harlem,40.80445,-73.9567,Private room,88,30,0,,,7,360
31230933,Easy access to everything in NYC!,178213591,Lilian,Manhattan,Financial District,40.70777,-74.00676,Entire home/apt,125,10,8,28-06-2019,1.3,1,270
6168663,Private bedroom in sunny apt,15743117,Alice,Manhattan,Harlem,40.81192,-73.95239,Private room,79,5,2,07-10-2015,0.04,1,0
191075,Sun-drenched East Village Penthouse,923915,Matthew,Manhattan,East Village,40.72566,-73.97748,Private room,110,3,81,28-03-2019,0.85,2,274
13802334,Bright chic room in Clinton hill,35775878,Lisa,Brooklyn,Clinton Hill,40.68366,-73.96563,Private room,65,7,10,10-12-2017,0.28,1,0
493611,Huge sunny artist loft +roof garden,1407251,Ute,Brooklyn,Gowanus,40.67862,-73.98561,Entire home/apt,385,1,66,19-05-2019,0.76,2,363
33168074,Homely Peaceful Apartment. Close to JFK,77393311,Edgar,Queens,Woodhaven,40.69567,-73.84949,Private room,50,2,7,31-05-2019,2,1,174
7451145,RARE! Vintage 2 Bed Artist's Flat,918087,Kestrel,Brooklyn,Bedford-Stuyvesant,40.68686,-73.94973,Entire home/apt,150,1,1,20-12-2015,0.02,3,0
35425436,World luxury,266609191,Yvette,Brooklyn,Bedford-Stuyvesant,40.68451,-73.92753,Private room,70,1,2,15-06-2019,2,1,161
944755,STUDIO APT 1. IN PROSPECT LEFFERTS GARDENS,3270460,William M.,Brooklyn,Prospect-Lefferts Gardens,40.65908,-73.96125,Entire home/apt,100,5,117,18-05-2019,1.61,2,73
21966051,Modern Studio Queen Room In Gowanus Inn,159091490,Melissa,Brooklyn,Gowanus,40.67893,-73.98365,Private room,139,1,10,19-06-2019,0.51,17,364
21765895,Fashion Blvd Flat 20 minutes from City Center!,152636597,Alexes,Bronx,Mott Haven,40.81039,-73.92478,Private room,73,1,1,09-06-2018,0.08,1,0
8401620,NICE AND BRIGHT ROOM UPPER WEST!,44262118,Martin,Manhattan,Upper West Side,40.77915,-73.97794,Private room,130,2,3,20-07-2016,0.06,1,0
25155248,Clean and spacious 2 bedroom w/ separate entrance,35108251,Belinda,Brooklyn,East New York,40.67018,-73.88867,Entire home/apt,79,3,37,29-06-2019,2.73,2,124
16339175,"Cozy, Quiet, 1 bedroom apartment - Lower East Side",93393807,Al,Manhattan,Lower East Side,40.7178,-73.98448,Entire home/apt,177,1,46,23-06-2019,1.5,1,31
24656728,Private room 1 block from Times Square/City Center,31929860,Bryan,Manhattan,Hell's Kitchen,40.75985,-73.99107,Private room,120,1,18,07-06-2019,1.27,4,249
28734815,Brand New Modern 1+2 Apt,57294304,Ekin,Manhattan,Hell's Kitchen,40.76464,-73.98737,Entire home/apt,250,1,0,,,1,0
16135399,Nice Room in the Upper West Side. Great Location.,105258361,Elena,Manhattan,Upper West Side,40.79528,-73.97325,Private room,100,3,38,03-04-2019,1.21,1,14
665394,Winning Location in Hells Kitchen,1139222,Carl,Manhattan,Hell's Kitchen,40.7589,-73.99015,Entire home/apt,220,2,18,01-12-2018,0.24,1,0
23455982,1 SUNNY MASTER BEDROOM LOWER EAST SIDE,4781753,Rhian,Manhattan,Lower East Side,40.72107,-73.9834,Private room,100,7,0,,,1,0
35187992,Cozy Airy w/Plenty of Sunlight Decatur 3FL RM#3,258213198,Joanne,Brooklyn,Bushwick,40.68682,-73.90831,Private room,70,1,3,07-07-2019,3,1,163
19097111,*Private Room in Beautiful Brooklyn Apartment*,43595404,Diana,Brooklyn,Bedford-Stuyvesant,40.68154,-73.9534,Private room,69,2,6,20-11-2017,0.25,1,0
8055598,"SPACIOUS APT, A/C, WIFI, SUBWAY!",2799733,Vinny,Manhattan,Washington Heights,40.85296,-73.93527,Entire home/apt,147,7,27,04-07-2019,0.78,1,294
16311527,Small furnished room in shared West Village apt,13846249,Sarah,Manhattan,West Village,40.73368,-74.00049,Private room,100,2,2,03-01-2017,0.06,1,0
9959328,"Beautiful, bright, serene Astoria 1 bedroom",51176545,Jennifer,Queens,Astoria,40.77168,-73.9222,Entire home/apt,189,1,0,,,1,0
22388659,One bedroom apartment New York City,31451485,Alexandre,Manhattan,East Harlem,40.79081,-73.94946,Entire home/apt,130,4,0,,,1,0
30378751,Homely One Bedroom on a quite safe street!,31408845,Shane,Queens,Astoria,40.76605,-73.92425,Entire home/apt,250,14,2,28-06-2019,0.32,1,341
27281341,Sunny 1BR in Midtown East by Sonder,12243051,Sonder,Manhattan,Kips Bay,40.74324,-73.97224,Entire home/apt,184,29,0,,,96,7
32725337,Ayo's Abode 2,241694782,Karin,Brooklyn,Bedford-Stuyvesant,40.6867,-73.93835,Entire home/apt,160,1,6,05-05-2019,1.49,2,68
12009807,Cozy centrally located LES apt,39856008,Tanya,Manhattan,Lower East Side,40.71869,-73.99141,Entire home/apt,140,1,1,17-04-2016,0.03,1,0
34757500,UN Artists Full Floor Loft - 3 Bedroom/2 Bath,101109383,Will AND Kelly,Manhattan,Midtown,40.75487,-73.96898,Entire home/apt,500,3,1,08-06-2019,1,1,257
5956257,Private Prospect Park Bed and Bath ,30918671,Conor,Brooklyn,Prospect-Lefferts Gardens,40.66149,-73.95222,Private room,60,1,0,,,1,0
12795290,Room in East Village,4929873,Larissa,Manhattan,East Village,40.72073,-73.97839,Private room,84,3,163,23-06-2019,4.22,1,294
31932152,An Unbeatable Cozy 3 Bedroom Apartment.,57885474,Shully'S,Bronx,Wakefield,40.89702,-73.85723,Entire home/apt,289,2,14,07-07-2019,2.96,2,356
33992212,2 Bedroom Sunny Apartment Near Prospect Park,2992287,Shahzad,Brooklyn,Prospect Heights,40.67405,-73.96788,Entire home/apt,199,3,4,22-06-2019,2.4,1,21
21550437,Charming Prvt Rm  Students/Travelers 8 min to SIUH,104812805,Amarjit S,Staten Island,Arrochar,40.59746,-74.08406,Private room,32,4,26,19-05-2019,1.33,8,315
9504043,BRIGHT & SPACIOUS ROOM!,31155262,Deborah,Brooklyn,Williamsburg,40.71165,-73.94898,Private room,79,56,0,,,1,0
19415887,Terrace Luxury Apartment,52295482,Nelle,Brooklyn,Fort Greene,40.69321,-73.98143,Entire home/apt,375,2,14,05-01-2019,0.6,1,75
12254118,Master Bedroom with Balcony in Soho,65979198,Marc,Manhattan,Nolita,40.72232,-73.99433,Private room,109,7,3,03-01-2017,0.09,1,0
10719039,RIVERDALE GRANDVIEW,55395596,Vian,Bronx,Fieldston,40.88777,-73.9059,Private room,70,1,1,07-08-2016,0.03,1,0
6971348,Close to East Side Hospitals- Modern 2 Bedroom Apt,25237492,Juliana,Manhattan,Upper East Side,40.76249,-73.96217,Entire home/apt,155,30,6,31-01-2019,0.14,34,295
36036692,"Views, modern layout, elevator, sweet LES.",1316936,Carlo,Manhattan,Chinatown,40.71688,-73.9904,Private room,125,31,0,,,1,179
19035560,Vibrant Brick-Exposed 1Bedroom in the East Village,16026934,Abir,Manhattan,East Village,40.72136,-73.97882,Private room,89,2,14,19-02-2018,0.55,1,0
6691625,Elegant private room in beautiful apartment,2135117,Susan,Brooklyn,Windsor Terrace,40.65766,-73.97927,Private room,52,2,53,07-07-2019,2.87,1,55
1515611,"AMAZING, HUGE NEW YORK LOFT!",8092548,Habib,Brooklyn,Clinton Hill,40.68639,-73.9624,Entire home/apt,229,3,38,25-06-2019,0.54,1,364
9787590,,50448556,Miguel,Manhattan,Harlem,40.80316,-73.95189,Entire home/apt,300,5,0,,,5,0
13725208,Private room in Manhattan's Lower East Side,64571012,Sarah,Manhattan,Lower East Side,40.72009,-73.98631,Private room,50,2,1,16-07-2016,0.03,1,0
30733576,king size bed in hip LES -subway outside,19052001,Madison,Manhattan,Lower East Side,40.7124,-73.99054,Private room,80,2,3,02-03-2019,0.6,1,0
16396753,Private room in the heart of East village,5212097,Chris,Manhattan,East Village,40.72258,-73.98148,Private room,100,3,5,19-03-2019,0.19,2,0
1331960,ARTSY & CONVENIENT in Williamsburg.,2671491,Savannah,Brooklyn,Bedford-Stuyvesant,40.69811,-73.95557,Entire home/apt,188,3,38,30-06-2019,0.54,1,261
34345976,Luxury 2 Bedroom Apartment,175166282,Zhanhong,Manhattan,Financial District,40.70896,-74.00695,Entire home/apt,220,30,0,,,1,49
34592997,Close to the city and Bronx Lebanon hospital,13664245,Denise,Bronx,Claremont Village,40.84353,-73.91108,Private room,43,3,0,,,2,341
26808908,Twin Cabin with a Window Two,51913826,The Bowery House,Manhattan,Nolita,40.72259,-73.99399,Private room,84,1,0,,,8,0
31020087,Charming 1BR by Washington Square Park Heart of NY,231675945,Alex,Manhattan,West Village,40.73236,-74.00213,Entire home/apt,370,3,20,01-07-2019,3.02,1,155
31832773,Great access/2min! U can use 5 lines(EFMR7) !,200239515,Shogo,Queens,Woodside,40.74578,-73.89328,Private room,40,30,1,16-03-2019,0.26,15,1
30459160,Large 2 Bedroom Apt - Close to everything!,84147508,Andre,Queens,Ridgewood,40.70028,-73.90785,Entire home/apt,190,3,1,30-12-2018,0.16,1,0
15436800,Independent entrance,67619393,Arthur,Queens,Corona,40.73759,-73.86351,Private room,37,3,30,18-06-2019,0.98,1,48
27787312,Beautiful cozy apt by Central Park,209386156,Abraham,Manhattan,East Harlem,40.79832,-73.94214,Shared room,49,2,35,28-05-2019,3.23,9,9
15405532,NYU/UNION SQRE/EAST VILLAGE-QUIET STUDIO EAST 25TH,2856748,Ruchi,Manhattan,Kips Bay,40.73824,-73.97874,Entire home/apt,198,30,0,,,49,364
22304757,Unique SoHo Oasis,134031945,Chloé,Manhattan,SoHo,40.72516,-74.00242,Entire home/apt,200,3,0,,,1,0
20729909,Two-storey Park Slope Apartment,12776165,Morgan,Brooklyn,Park Slope,40.67884,-73.97493,Entire home/apt,120,3,7,28-04-2019,0.35,1,0
32564016,Huge 1 bedroom apartment with private deck!,224666178,Jacqueline,Brooklyn,Williamsburg,40.71263,-73.9581,Entire home/apt,150,2,6,09-06-2019,1.5,1,2
13662692,Lovely 1bed apt (UWS) next to 72nd St. Subway & CP,79231531,Nimmi,Manhattan,Upper West Side,40.77778,-73.97795,Entire home/apt,200,4,1,13-09-2016,0.03,1,0
30769510,Modern Luxury 2bedroom in ideal Brooklyn location,4797532,Priscilla,Brooklyn,Crown Heights,40.67267,-73.95786,Entire home/apt,135,28,0,,,2,189
27487078,Private Suite,1353336,Dennis,Queens,Astoria,40.75759,-73.91703,Private room,90,5,1,29-09-2018,0.11,1,69
81739,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73842,-73.95312,Private room,249,3,2,12-05-2011,0.02,28,60
32007251,Home Sweet Home,118502740,Mikyla,Queens,Jamaica,40.69289,-73.81079,Private room,120,2,0,,,1,0
26255072,15 min to NYC from a comfy and clean house.,157295347,Ana,Queens,Woodside,40.74445,-73.90581,Private room,32,2,16,23-12-2018,1.28,3,365
7024774,Our beautiful apt in Fort Greene,703023,Rebecca,Brooklyn,Fort Greene,40.69276,-73.97061,Entire home/apt,205,3,3,30-06-2019,0.06,1,0
714028,An Oasis in the Big Apple 2,3621183,Paul,Queens,Woodside,40.74746,-73.89712,Entire home/apt,120,3,51,03-07-2019,1.52,3,253
2310008,CLEAN LES HOME,5019619,Chris,Manhattan,Chinatown,40.71627,-73.99404,Private room,75,1,4,22-02-2015,0.06,1,0
6114161,Beautiful Apartment in SoHo,21327551,Liza,Manhattan,Nolita,40.72191,-73.99587,Private room,125,1,1,19-05-2015,0.02,1,0
10403070,Brownstone in Brooklyn,52657843,Yuchen,Brooklyn,Bedford-Stuyvesant,40.69414,-73.94723,Private room,130,3,6,09-09-2017,0.23,1,0
30675435,NY TIME SQUARE DOUBLE ROOM,224815152,Hudson River Hotel,Manhattan,Hell's Kitchen,40.75641,-73.9971,Private room,209,1,25,28-05-2019,3.49,8,84
9365502,Cozy 1 bdrm Chelsea/Meatpacking,3843401,Chanel,Manhattan,Chelsea,40.74097,-73.99953,Entire home/apt,150,1,1,17-11-2015,0.02,1,0
26749932,Ju Ju Shala in Williamsburg,201142263,Pablo,Brooklyn,Williamsburg,40.70761,-73.95337,Private room,130,2,8,26-06-2019,0.68,1,86
9615209,Cozy Studio in Luxury Building LIC,49746656,Elva,Queens,Long Island City,40.74572,-73.95679,Entire home/apt,85,5,1,13-08-2016,0.03,1,0
10350120,Nice Suite with Kitchen,53268392,Crystal,Manhattan,Upper West Side,40.80076,-73.96389,Shared room,100,1,0,,,1,0
27703016,New York Apartment,157209452,Mansi,Manhattan,Nolita,40.72194,-73.99557,Private room,120,1,9,20-10-2018,0.85,1,179
24428965,Modern & Spacious Apartment in Central Harlem,22460686,Diane & Brice,Manhattan,Harlem,40.81716,-73.94279,Entire home/apt,165,3,33,03-06-2019,2.3,1,192
4758924,Luxury Apt in Artsy Bushwick ,24555785,Shanna,Brooklyn,Bushwick,40.69685,-73.92933,Private room,73,1,1,03-01-2015,0.02,1,0
7901928,Cozy Room in the Heart of Astoria,4646764,Amanda,Queens,Astoria,40.76281,-73.91554,Private room,60,1,2,09-11-2015,0.04,1,0
32987685,2bd BOUTIQUE  Apartament in the heart of MANHATTAN,8033432,Tom,Manhattan,Hell's Kitchen,40.76694,-73.98773,Entire home/apt,299,1,13,07-07-2019,5.91,4,0
2272739,Sunny Spacious West Village 1BR,11603608,Dylan,Manhattan,Greenwich Village,40.7358,-73.99677,Entire home/apt,199,3,8,21-06-2015,0.16,1,0
8538668,"Spacious, clean studio in Kips Bay",6193870,Erin,Manhattan,Murray Hill,40.74469,-73.97443,Entire home/apt,125,4,0,,,1,0
8595349,BEAUTIFUL&BRIGHT 2bd/2ba(E Village),6346333,Zac,Manhattan,East Village,40.72756,-73.98588,Entire home/apt,280,4,2,28-05-2016,0.05,2,0
19789878,One Bedroom Apartment + Private Terrace,97856969,Evgenia,Brooklyn,Boerum Hill,40.68909,-73.99083,Entire home/apt,98,13,1,29-08-2017,0.04,1,0
31900266,"Cozy Brownstone Garden Apt: Bed Stuy, Brooklyn",8803552,Ursula,Brooklyn,Bedford-Stuyvesant,40.68758,-73.94458,Private room,95,3,0,,,1,179
24659877,Nice home in awesome Location,186376053,Andrea,Manhattan,Upper West Side,40.79694,-73.96268,Private room,80,2,17,15-06-2019,1.44,1,126
7675917,PRIVATE ROOM WITH PRIVATE BACKYARD!,40236486,Priscilla,Manhattan,Washington Heights,40.8403,-73.93833,Private room,50,1,6,06-05-2018,0.13,3,64
13395513,Entire apartment in the heart of SOHO,74994238,Godfrey,Manhattan,SoHo,40.7207,-73.99815,Entire home/apt,76,30,10,11-06-2019,0.31,1,30
29897123,Entire Cozy Apt in Brooklyn - 20 mins to Manhattan,218959287,George,Brooklyn,Crown Heights,40.67355,-73.94567,Entire home/apt,100,2,0,,,1,0
35658004,"CHARM APT IN LOWER EAST SIDE, WALKING EVERYWHERE",7768807,Antina,Manhattan,Lower East Side,40.7195,-73.98558,Entire home/apt,200,1,1,01-07-2019,1,1,270
19069305,"Quiet, cozy room just across the Brooklyn Museum",10402380,Yuval,Brooklyn,Prospect Heights,40.67245,-73.96358,Private room,50,1,144,02-07-2019,5.65,2,0
9057283,Renovated Modern-right on Times Sqr,2856748,Ruchi,Manhattan,Theater District,40.75891,-73.9845,Entire home/apt,175,30,0,,,49,333
26199962,BELLA CASA large Studio - 5 mins to Times Square!!,16480700,Eddie&Vlad,Manhattan,Upper East Side,40.76451,-73.96744,Entire home/apt,249,1,37,07-06-2019,3.04,7,352
66275,Lower East Side Magic Room,314941,Tony,Manhattan,Lower East Side,40.71904,-73.99392,Private room,95,1,109,23-06-2019,1.11,3,364
34851748,X,184750740,Juice,Bronx,Morrisania,40.82504,-73.90918,Shared room,80,1,0,,,4,365
20982422,'Fan'tastic,75248463,Jotham,Brooklyn,East Flatbush,40.64516,-73.94751,Private room,59,2,10,01-06-2019,0.47,4,41
2297029,large 2bdrm apt - midtown manhattan,10974421,Jj,Manhattan,Hell's Kitchen,40.76182,-73.99003,Entire home/apt,200,1,8,25-09-2016,0.16,1,0
7955150,Entire Apartment in South Slope,41951749,Erin,Brooklyn,South Slope,40.66495,-73.99147,Entire home/apt,120,2,8,10-11-2015,0.17,1,0
16367184,South Slope Brooklyn Apartment!,7676346,Saquib,Brooklyn,Sunset Park,40.66033,-73.99623,Entire home/apt,80,2,0,,,1,0
28361060,Soho Nolita Private capsule Loft NYC Female only,10164435,Stella,Manhattan,Nolita,40.72124,-73.99425,Private room,68,1,28,24-06-2019,2.84,3,21
6344926,Brooklyn private room,14898658,Chadanut,Brooklyn,Kensington,40.64423,-73.98224,Private room,40,30,43,08-01-2019,0.87,11,99
29654013,♀ Sunny Bedroom in Great Apartment in Popular Bk,204852306,Dee,Brooklyn,Bedford-Stuyvesant,40.67862,-73.93227,Private room,41,15,0,,,14,0
10537769,Private Room in Greenpoint Brooklyn,54339185,Julio,Brooklyn,Greenpoint,40.72963,-73.94937,Private room,45,1,0,,,1,0
20800988,"Cozy one bedroom aka ""The Green room"" (near JFK)",141052003,Nicole,Queens,Jamaica,40.68496,-73.78194,Private room,55,1,5,28-10-2018,0.27,4,155
29672090,comfortable one-bedroom in great LES location,1887283,Sylvia,Manhattan,Chinatown,40.71415,-73.99255,Entire home/apt,121,2,8,24-06-2019,1.07,1,0
7715342,Beautiful Home Away From Home,11272233,Kat,Brooklyn,Crown Heights,40.6735,-73.93856,Private room,59,1,199,22-06-2019,4.19,2,288
33169786,Cozy Fully Furnished,1602809,Christina,Brooklyn,Prospect-Lefferts Gardens,40.65953,-73.96059,Entire home/apt,150,30,0,,,1,278
