Products,Prod_id,Cust_id,Sales,Order_Quan,Profit,Shipping_Cost,Product_Base_Margin,Customer_Segment
TELEPHONES AND COMMUNICATION,Prod_4,Cust_498,7241.641,31,2954.08,24.59,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1081,8509.641,29,3147.49,19.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1480,8509.641,29,3003.96,16.1,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_878,8637.641,14,2477.97,23,0.56,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1753,8043.641,49,4976.95,29.99,0.58,SMALL BUSINESS
VENDING MACHINE,Prod_1,Cust_1753,8930.641,16,2757.29,20.23,0.6,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1314,9513.641,33,3655.54,27.99,0.83,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1427,9713.641,39,4414.57,18.2,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1468,9163.641,37,2969.89,25.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_220,10526.641,52,5368.48,20,0.85,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_209,9873.641,51,4183.29,24.99,0.57,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_209,9944.641,20,2695.53,20.31,0.59,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_209,10392.641,55,3131,16.25,0.57,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_209,7472.641,46,3542.68,16.99,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_723,11208.641,47,4789.58,16,0.8,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_856,7563.641,12,2916.49,16.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1752,9449.641,16,2397.44,27.99,0.55,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1770,10809.641,16,2527.42,26.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1770,7926.641,31,3255.45,18.26,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_506,11082.641,14,2422.83,24.2,0.57,CORPORATE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_506,9828.641,41,3091.57,18.25,0.36,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_53,11124.641,24,3181.21,19.99,0.37,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_669,7357.641,10,2414.61,22.8,0.55,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1393,8040.641,29,3612.37,20.08,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1385,9839.641,27,3210.13,25.99,0.56,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1385,7720.641,50,3406.45,23.3,0.56,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1674,9777.641,38,2964.21,19.63,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1674,10277.641,17,2629.59,28.8,0.35,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1810,7317.641,17,2945.98,18.26,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1384,7990.641,46,3325.97,25.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1384,8582.641,13,2555.58,18.99,0.37,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_566,8016.641,14,2708.34,22.2,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_80,10085.641,47,3006.95,15.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1784,9327.641,35,3668.34,25.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_211,8288.641,35,2788.6,20.25,0.56,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1451,9130.641,13,2427.28,13.25,0.83,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_470,10650.641,54,3385.9,18.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_510,11028.641,22,3102.53,25.99,0.56,CORPORATE
PAPER,Prod_6,Cust_925,7243.641,22,2995.57,21.81,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1680,9896.641,44,4403.89,20.5,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1680,7173.641,14,2812.47,28.08,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1381,8740.641,54,3338.18,20.99,0.58,CORPORATE
PAPER,Prod_6,Cust_1381,9810.641,40,4429.95,24.99,0.37,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1381,7967.641,16,2797.7,16.31,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1381,9282.641,43,3299.56,22.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_304,11251.641,22,3470.74,19,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_304,7754.641,21,2897.38,20.92,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1669,9154.641,16,2483.82,27.69,0.57,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1675,10123.641,55,3388.89,24.92,0.81,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_989,9816.641,35,2869.94,21.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_992,9481.641,17,2960.23,26.59,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_992,8491.641,45,2718.78,22.81,0.38,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_528,7283.641,45,3901.84,20.99,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_528,9515.641,33,2442.59,15.5,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1439,10773.641,33,3718.95,27.08,0.55,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1453,8682.641,18,2433.7,15.3,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_859,9737.641,10,2509.81,22.5,0.83,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_756,10810.641,46,3886.53,22.5,0.85,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_212,9735.641,40,2615.41,17.03,0.55,SMALL BUSINESS
PAPER,Prod_6,Cust_212,8134.641,31,3424.18,17.26,0.37,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_212,7402.641,45,2368.83,17,0.58,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_212,8953.641,12,2889.8,21.5,0.57,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1682,8953.641,21,3104.03,19.26,0.8,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_783,8031.641,20,3138,18.5,0.85,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_783,8654.641,20,2864.91,13.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_805,10171.641,57,2886.69,20.3,0.55,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_805,8311.641,46,3866.08,18.5,0.6,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_363,10069.641,27,3204.24,25.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_78,9619.641,15,2460.75,16,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_754,8439.641,13,2823.87,14.99,0.59,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1746,8604.641,48,3306.33,22.81,0.38,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1746,10955.641,48,4200.96,14.5,0.6,CORPORATE
LABELS,Prod_12,Cust_1746,10202.641,45,3693.49,28.99,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1017,9883.641,35,3469.15,25.69,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_642,7602.641,58,3408.82,19.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_849,8288.641,29,2194.75,24.08,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1071,11256.641,55,4671.89,16.99,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1071,10038.641,44,3574.19,28.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1450,9449.641,15,2959.69,16.25,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1580,8014.641,18,2933.75,28.99,0.58,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_758,7920.641,53,3449.6,21.99,0.57,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1079,9490.641,11,2982.1,12.25,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_758,9720.641,22,3274.61,24.08,0.59,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_682,7470.641,27,2734.11,37.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1391,10803.641,49,3575.24,17.2,0.85,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1391,9382.641,28,3295.33,16.3,0.83,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_41,10189.641,12,2899.72,24.99,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_41,7116.641,43,4457.7,21.99,0.35,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_67,10408.641,31,2681.8,21.03,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1065,10075.641,16,1990.33,21.99,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_444,9337.641,55,5337.21,20.2,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_444,7167.641,39,3219.2,21.31,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_444,9902.641,43,3830.95,25.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_268,9343.641,10,2692.13,13.5,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_928,7892.641,18,3159.37,22.26,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_928,7750.641,17,2998.67,27.08,0.39,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1008,10125.641,48,4059.63,13.5,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1634,7513.641,16,2992.22,20,0.39,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1127,8990.641,29,4005.57,18,0.58,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1724,8749.641,35,3842.15,28.99,0.37,CORPORATE
COMPUTER PERIPHERALS,Prod_8,Cust_1724,11140.641,14,2521.51,21.5,0.42,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_440,7670.641,40,3942.11,21.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1617,8187.641,47,4421.79,23.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_686,8103.641,38,4163.41,27.99,0.55,SMALL BUSINESS
PAPER,Prod_6,Cust_897,7866.641,26,3524.47,23.9,0.4,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_686,7574.641,43,4017.97,13.5,0.57,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_322,10673.641,29,2992.52,16.26,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1586,10406.641,18,2670.19,24.9,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_905,10580.641,11,2578.37,14.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1462,7921.641,22,3029.87,27.08,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1457,9346.641,50,3513.38,19.92,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1457,11056.641,31,3424.33,29.99,0.83,HOME OFFICE
BINDERS AND BINDER ACCESSORIES,Prod_3,Cust_1457,8479.641,13,2697.76,26.99,0.35,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1612,7148.641,23,3053.16,22.31,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1612,8590.641,27,2875.84,20.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_719,10476.641,32,2469.32,24,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_173,9153.641,35,2937.08,19.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1285,7999.641,10,2728.75,22,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1750,8889.641,10,2741.64,22,0.56,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1056,10645.641,22,3062.75,13.5,0.81,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1442,9832.641,43,4071.08,24.99,0.37,HOME OFFICE
ENVELOPES,Prod_9,Cust_1056,100.641,26,48.04,21.99,0.39,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_85,9410.641,40,3509.51,15.3,0.55,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_85,8996.641,36,2548.16,23.03,0.83,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1596,10493.641,35,3051.01,20.81,0.56,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1484,10741.641,29,3174.87,21.99,0.57,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_561,10426.641,24,3129.51,16.5,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_561,7313.641,28,3441.47,18.69,0.81,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_561,7457.641,39,4125.58,15.3,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_561,10064.641,26,2719.53,19.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1769,7669.641,50,4530.23,25.26,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1785,8754.641,21,2991.15,23.81,0.58,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_55,9825.641,55,5649.5,24.99,0.39,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_55,7890.641,12,2611.8,28.99,0.35,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1719,10408.641,57,3601.98,16.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1719,8079.641,26,3200.76,22.08,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1719,7138.641,13,2981.85,24.99,0.6,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_105,8227.641,48,2231.11,24.2,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_105,9930.641,46,3550.15,22.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_826,10735.641,11,2726.67,20.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1506,9019.641,55,2513.05,20.03,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_167,10454.641,40,3689.16,13.25,0.82,SMALL BUSINESS
TELEPHONES AND COMMUNICATION,Prod_4,Cust_154,10488.641,33,3402.36,19.99,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1684,8801.641,50,3979.96,28.99,0.85,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_961,9522.641,39,2980.98,19.3,0.57,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_929,10669.641,43,3922.19,18.5,0.55,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1759,11081.641,52,3389.26,13.25,0.83,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_290,7741.641,40,3314.7,17.99,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_766,8804.641,28,3223.72,19.99,0.6,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1124,9595.641,51,3929.92,20.8,0.8,HOME OFFICE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1619,9411.641,31,3074.43,23.99,0.83,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1619,10571.641,13,2567.13,28.08,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1619,10746.641,14,2443.19,20.2,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1619,7827.641,20,2815.17,18.99,0.57,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_1481,8138.641,12,2850.44,20.69,0.56,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_326,9827.641,43,3012.96,20.99,0.85,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_649,10030.641,33,2822.09,21.99,0.58,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_697,7071.641,40,3399.7,17.63,0.59,CORPORATE
TELEPHONES AND COMMUNICATION,Prod_4,Cust_567,10022.641,48,2465.66,16.3,0.59,HOME OFFICE
